ASV,01A-CR,01B-CR,01C-CR,02A-CR,02B-CR,02C-CR,03A,03B,03C,04A,04B,04C,05A,05B,05C,06A,06B,06C,07A,07B,07C,08A,08B,08C,09A,09B,09C,10A,10B,10C,11A,11B,11C,12A,12B,12C,13A,13B,13C,14A,14B,14C
74bb3563812183a2cca479b6650df663,0,0,0,0,0,0,0,1786,13,0,56,0,19,121,2669,0,30,0,32,185,1169,0,890,29,0,396,0,0,112,0,0,475,39,0,969,76,0,191,64,0,0,0
90cf5b9f5105c56ed09d8084ed7ff942,11,0,0,27,0,0,0,503,86,0,46,0,0,322,2589,0,76,159,0,131,1429,0,1900,29,0,403,72,0,74,59,0,579,34,0,518,0,0,235,0,0,0,0
22fdd66389041d7f288130d8685700c0,0,0,0,0,18,0,0,0,0,0,0,0,0,47,868,0,25,173,0,387,1207,0,912,461,0,195,70,0,108,108,0,1004,70,0,2541,580,0,250,188,0,0,0
aab1c4a9884d96a51be94e479b3834e7,31,187,0,67,74,0,1126,267,0,158,41,0,2137,180,828,382,56,88,627,99,82,204,117,0,252,70,0,52,15,54,41,44,0,702,181,0,196,99,203,446,36,65
1537ae276dd5df2692f21ed488abc989,0,0,0,0,0,0,0,0,0,0,111,0,0,1756,3798,0,176,195,0,463,724,0,1071,41,0,184,25,0,44,24,0,27,0,0,290,0,0,42,20,0,0,0
955eec3f5fecb0562fd82c0fdf116698,0,186,0,0,29,0,0,264,69,0,15,0,0,590,1796,0,15,27,0,1904,1855,0,372,0,0,74,0,0,58,0,0,1183,40,0,78,0,0,202,8,0,0,0
ddac919095eee27b871da96762bc147c,0,110,0,0,170,52,0,0,0,0,5,0,0,18,587,0,13,157,0,510,958,0,2276,129,0,440,24,0,233,76,0,709,38,0,996,173,0,742,242,0,0,0
e88c784c4d7603ddcd2dd493cfc1344f,0,37,0,0,49,0,543,330,37,68,28,0,2675,84,943,231,28,74,537,106,95,275,182,59,315,168,12,56,17,41,50,80,0,56,240,180,112,171,261,363,33,0
739eb875eae2028da0a794c7a943daa4,0,136,0,0,209,0,0,299,0,0,13,0,0,185,1009,0,0,0,0,0,3287,0,125,0,0,116,0,0,28,0,0,57,7,0,16,0,0,0,99,0,2763,172
1e0a49ea6889d458e00dd4b88b942c70,0,0,0,64,0,0,1096,205,124,25,27,21,2223,131,999,199,10,0,459,31,24,336,100,67,255,152,27,31,0,26,24,34,0,289,152,240,176,180,143,343,56,113
74c4bc9203d5557f235ba43f2b2c38e8,0,1068,0,0,533,0,0,133,0,0,10,0,0,233,1118,0,0,19,0,93,442,0,384,23,0,201,12,0,28,50,0,1311,238,0,960,141,0,487,843,0,0,0
521a7dcc2b2fb9b9d165e9263fdb9c61,28,369,72,199,46,95,629,350,171,39,46,0,149,195,1274,200,30,59,165,216,111,537,261,155,106,0,21,103,0,35,0,0,0,395,42,149,129,71,157,152,1030,157
a5692a948a737a0409139e723fc6705a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,27,0,4238,361,0,2660,109,0,0,0
fce0005f7930c127643b59b280916738,0,0,0,0,0,0,0,898,0,0,0,0,0,955,3462,0,0,1146,0,0,0,0,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01724cf9a80942822c05e81fafceabda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6597,411
6f8bceaa4f954e133ec64e58a747b702,0,0,0,0,0,232,0,0,0,0,0,0,0,0,404,0,0,64,0,61,318,0,605,352,0,672,444,0,419,582,0,371,43,0,1474,609,0,96,102,0,0,0
fa5f746cc7468740836334992de93384,0,0,0,0,0,0,1271,503,0,32,0,0,406,0,1635,407,39,6,0,0,222,0,0,0,40,12,0,207,75,6,0,0,0,401,416,29,0,0,109,836,56,0
