taxa,03C,04C,05C,06C,07C,08C,09C,10C,11C,12C,13C,14C
D_0__Bacteria;D_1__Firmicutes;__,0,0,57,0,7,0,0,6,0,0,0,0
D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIb,0,0,0,0,16,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96,10,0,56,0,9,0,0,0,7,313,22,0
D_0__Bacteria;D_1__Acidobacteria;__,0,0,44,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Spirochaetes;D_2__Leptospirae,12,0,29,0,12,0,9,0,0,0,0,0
D_0__Bacteria;D_1__Entotheonellaeota;D_2__Entotheonellia,0,0,84,0,4,16,0,0,0,0,14,0
D_0__Bacteria;D_1__Actinobacteria;__,0,0,89,0,16,0,0,0,0,0,0,0
D_0__Archaea;D_1__Thaumarchaeota;__,0,0,47,0,3,0,0,0,0,29,0,0
D_0__Archaea;D_1__Diapherotrites;D_2__Micrarchaeia,0,0,53,0,0,0,0,0,0,14,0,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__OC31,0,0,0,0,12,0,0,0,0,0,0,0
D_0__Archaea;D_1__Thaumarchaeota;D_2__Group 1.1c,9,0,0,0,11,0,0,0,0,0,25,0
D_0__Bacteria;D_1__Gemmatimonadetes;D_2__Gemmatimonadetes,11,0,0,0,3,0,0,0,0,0,0,0
D_0__Bacteria;D_1__GAL15;D_2__uncultured bacterium,0,0,14,0,0,0,0,0,0,9,0,0
D_0__Bacteria;D_1__Elusimicrobia;D_2__Endomicrobia,0,0,63,15,9,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Patescibacteria;D_2__WWE3,0,0,46,7,0,0,0,6,0,29,0,0
D_0__Bacteria;D_1__Fusobacteria;D_2__Fusobacteriia,0,12,51,0,7,139,0,0,0,0,0,2
D_0__Bacteria;D_1__Hydrogenedentes;D_2__Hydrogenedentia,0,0,176,0,8,0,0,0,0,11,0,0
D_0__Bacteria;D_1__Epsilonbacteraeota;D_2__Campylobacteria,37,0,24,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__AncK6;D_2__uncultured bacterium,0,0,0,0,6,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Margulisbacteria;__,0,0,0,37,6,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Spirochaetes;D_2__MVP-15,0,0,20,0,69,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIa,21,0,0,12,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 15,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__P2-11E,0,0,19,0,0,0,0,4,0,0,0,0
D_0__Bacteria;D_1__Schekmanbacteria;__,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__Chthonomonadetes,0,0,63,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes,15,0,16,0,11,0,0,0,0,0,0,19
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermococci,0,0,14,0,0,0,6,0,0,0,0,0
D_0__Bacteria;D_1__Lentisphaerae;D_2__Lentisphaeria,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Patescibacteria;__,0,0,21,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Patescibacteria;D_2__CPR2,0,0,5,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae,0,0,0,0,11,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__MB-A2-108,0,0,22,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Nitrospinae;D_2__Nitrospinia,0,0,0,0,29,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia,0,0,0,0,23,0,0,0,0,0,0,0
D_0__Bacteria;D_1__BRC1;D_2__uncultured bacterium,20,0,45,0,24,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__Fimbriimonadia,0,0,7,0,0,0,0,0,0,0,0,43
D_0__Bacteria;D_1__WPS-2;D_2__uncultured bacterium,0,0,0,0,0,0,0,0,4,0,0,0
D_0__Bacteria;D_1__PAUC34f;D_2__uncultured bacterium,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Firmicutes;D_2__Limnochordia,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Kiritimatiellaeota;D_2__Kiritimatiellae,0,0,17,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__Armatimonadia,0,0,0,0,0,0,0,0,0,0,0,69
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 9,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Gemmatimonadetes;D_2__BD2-11 terrestrial group,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Deinococcus-Thermus;D_2__Deinococci,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__FBP;D_2__uncultured bacterium,0,0,8,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;__,0,0,19,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__LCP-89;D_2__uncultured bacterium,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Poribacteria;D_2__uncultured bacterium,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Crenarchaeota;D_2__Thermoprotei,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__CK-2C2-2;__,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__TK17,0,0,20,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;__,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Nitrospirae;D_2__BMS9AB35,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__OLB14,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acetothermia;D_2__Acetothermiia,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__uncultured,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__PAUC34f;__,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Schekmanbacteria;D_2__uncultured bacterium,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__RBG-16-55-12,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Firmicutes;D_2__Erysipelotrichia,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 18,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Fibrobacteres;D_2__Fibrobacteria,0,0,0,0,11,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Fibrobacteres;D_2__Chitinivibrionia,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Planctomycetes;D_2__028H05-P-BN-P5,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Nitrospinae;D_2__P9X2b3D02,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Crenarchaeota;D_2__Bathyarchaeia,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Margulisbacteria;D_2__uncultured bacterium,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Patescibacteria;D_2__Kazania,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanobacteria,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__FCPU426;__,0,0,0,0,0,0,0,0,0,0,0,0
